mod; YYYY/MM/DD; HH:MM:SS; aligned
src; "Omnibus Systems - Omnibase "; "2010/03/28" ; "11:14:07"
chs; "ASCII"
ver; "For help and support contact the Omnibus Support Team"
ifv; "Version 5.0"
dve; "For help and support contact the Omnibus Support Team"
fft; ""
tbl; STOP_POINT
atr; BASE_VERSION; POINT_TYPE; POINT_NO; STOP_POINT_NO; STOP_POINT_DESC
frm; num[11.0]; num[11.0]; num[11.0]; num[11.0]; char[40]
rec;    20100328;           1;         300;           0;                             "New Steine"
rec;    20100328;           1;         301;           1;                             "New Steine"
rec;    20100328;           1;         400;           0;                         "Bedford Street"
rec;    20100328;           1;         401;           1;                         "Bedford Street"
rec;    20100328;           1;         500;           0;                      "Burlington Street"
rec;    20100328;           1;         501;           1;                      "Burlington Street"
rec;    20100328;           1;         600;           0;                           "Paston Place"
rec;    20100328;           1;         601;           1;                           "Paston Place"
rec;    20100328;           1;         700;           0;              "Eaton Place/Marine Parade"
rec;    20100328;           1;         701;           1;              "Eaton Place/Marine Parade"
rec;    20100328;           1;         800;           0;                            "Dukes Mound"
rec;    20100328;           1;         801;           1;                            "Dukes Mound"
rec;    20100328;           1;         900;           0;                            "Eaton Place"
rec;    20100328;           1;        1000;           0;                        "Arundel Terrace"
rec;    20100328;           1;        1001;           1;                        "Arundel Terrace"
rec;    20100328;           1;        1100;           0;                            "Marine Gate"
rec;    20100328;           1;        1101;           1;                            "Marine Gate"
rec;    20100328;           1;        1201;           1;                      "Marine Gate Flats"
rec;    20100328;           1;        1300;           0;                           "Roedean Cafe"
rec;    20100328;           1;        1301;           1;                           "Roedean Cafe"
rec;    20100328;           1;        1400;           0;                         "Roedean School"
rec;    20100328;           1;        1401;           1;                         "Roedean School"
rec;    20100328;           1;        1500;           0;                              "Greenways"
rec;    20100328;           1;        1501;           1;                              "Greenways"
rec;    20100328;           1;        1600;           0;               "The Windmill/Rottingdean"
rec;    20100328;           1;        1601;           1;               "The Windmill/Rottingdean"
rec;    20100328;           1;        1700;           0;                "Rottingdean White Horse"
rec;    20100328;           1;        1701;           1;                "Rottingdean White Horse"
rec;    20100328;           1;        1800;           0;                          "Newlands Road"
rec;    20100328;           1;        1801;           1;                          "Newlands Road"
rec;    20100328;           1;        1900;           0;                         "Chailey Avenue"
rec;    20100328;           1;        1901;           1;                         "Chailey Avenue"
rec;    20100328;           1;        2000;           0;                       "Cranleigh Avenue"
rec;    20100328;           1;        2001;           1;                       "Cranleigh Avenue"
rec;    20100328;           1;        2100;           0;                  "Chichester Drive West"
rec;    20100328;           1;        2101;           1;                  "Chichester Drive West"
rec;    20100328;           1;        2200;           0;                       "Longridge Avenue"
rec;    20100328;           1;        2201;           1;                       "Longridge Avenue"
rec;    20100328;           1;        2300;           0;                     "Bannings Vale A259"
rec;    20100328;           1;        2301;           1;                     "Bannings Vale A259"
rec;    20100328;           1;        2400;           0;                          "Telscombe Tye"
rec;    20100328;           1;        2401;           1;                          "Telscombe Tye"
rec;    20100328;           1;        2500;           0;                          "Bramber House"
rec;    20100328;           1;        2501;           1;                          "Bramber House"
rec;    20100328;           1;        2600;           0;                           "Park Village"
rec;    20100328;           1;        2601;           1;                           "Park Village"
rec;    20100328;           1;        2701;           1;                           "Fleet Street"
rec;    20100328;           1;        2801;           1;                     "New England Street"
rec;    20100328;           1;        2900;           0;                   "London Road Shops SC"
rec;    20100328;           1;        2901;           1;                   "London Road Shops SC"
rec;    20100328;           1;        3001;           1;                    "London Road Shops B"
rec;    20100328;           1;        3100;           0;                           "Baker Street"
rec;    20100328;           1;        3101;           1;                           "Baker Street"
rec;    20100328;           1;        3201;           1;                       "Preston Circus X"
rec;    20100328;           1;        3300;           0;                      "Stanford Avenue A"
rec;    20100328;           1;        3400;           0;                "Springfield Road Bottom"
rec;    20100328;           1;        3500;           0;                       "Preston Circus H"
rec;    20100328;           1;        3601;           1;                    "Stanford Avenue A23"
rec;    20100328;           1;        3700;           0;                            "Lovers Walk"
rec;    20100328;           1;        3701;           1;                            "Lovers Walk"
rec;    20100328;           1;        3800;           0;                          "Rookery Close"
rec;    20100328;           1;        3801;           1;                          "Rookery Close"
rec;    20100328;           1;        3900;           0;                          "Preston Drove"
rec;    20100328;           1;        3901;           1;                          "Preston Drove"
rec;    20100328;           1;        4000;           0;                          "Preston Manor"
rec;    20100328;           1;        4100;           0;                    "Harrington Road A23"
rec;    20100328;           1;        4101;           1;                    "Harrington Road A23"
rec;    20100328;           1;        4200;           0;                          "Varndean Road"
rec;    20100328;           1;        4201;           1;                          "Varndean Road"
rec;    20100328;           1;        4300;           0;                      "Boiler House Hill"
rec;    20100328;           1;        4301;           1;                      "Boiler House Hill"
rec;    20100328;           1;        4400;           0;                         "Cedars Gardens"
rec;    20100328;           1;        4401;           1;                         "Cedars Gardens"
rec;    20100328;           1;        4500;           0;                      "Hastings Building"
rec;    20100328;           1;        4600;           0;                   "Tongdean Lane Bottom"
rec;    20100328;           1;        4601;           1;                   "Tongdean Lane Bottom"
rec;    20100328;           1;        4800;           0;                        "The Deneway A23"
rec;    20100328;           1;        4801;           1;                        "The Deneway A23"
rec;    20100328;           1;        4900;           0;                       "Ridgeside Avenue"
rec;    20100328;           1;        4901;           1;                       "Ridgeside Avenue"
rec;    20100328;           1;        5500;           0;                              "The Level"
rec;    20100328;           1;        5501;           1;                              "The Level"
rec;    20100328;           1;        5600;           0;                              "Elm Grove"
rec;    20100328;           1;        5601;           1;                              "Elm Grove"
rec;    20100328;           1;        5700;           0;                        "St Pauls Street"
rec;    20100328;           1;        5701;           1;                        "St Pauls Street"
rec;    20100328;           1;        5800;           0;                       "Melbourne Street"
rec;    20100328;           1;        5801;           1;                       "Melbourne Street"
rec;    20100328;           1;        5900;           0;                  "Lewes Road Bus Garage"
rec;    20100328;           1;        5901;           1;                  "Lewes Road Bus Garage"
rec;    20100328;           1;        6000;           0;                            "Coombe Road"
rec;    20100328;           1;        6001;           1;                            "Coombe Road"
rec;    20100328;           1;        6100;           0;                             "Natal Road"
rec;    20100328;           1;        6101;           1;                             "Natal Road"
rec;    20100328;           1;        6200;           0;                    "Brighton University"
rec;    20100328;           1;        6201;           1;                    "Brighton University"
rec;    20100328;           1;        6300;           0;                           "Bates Estate"
rec;    20100328;           1;        6301;           1;                           "Bates Estate"
rec;    20100328;           1;        6400;           0;                        "Moulsecoomb Way"
rec;    20100328;           1;        6401;           1;                        "Moulsecoomb Way"
rec;    20100328;           1;        6500;           0;                           "Ringmer Road"
rec;    20100328;           1;        6501;           1;                           "Ringmer Road"
rec;    20100328;           1;        6600;           0;                              "Wild Park"
rec;    20100328;           1;        6601;           1;                              "Wild Park"
rec;    20100328;           1;        6700;           0;                           "Coldean Lane"
rec;    20100328;           1;        6701;           1;                           "Coldean Lane"
rec;    20100328;           1;        6900;           0;                           "Stanmer Park"
rec;    20100328;           1;        6901;           1;                           "Stanmer Park"
rec;    20100328;           1;        7000;           0;                         "Falmer Station"
rec;    20100328;           1;        7001;           1;                         "Falmer Station"
rec;    20100328;           1;        7100;           0;                         "Falmer Village"
rec;    20100328;           1;        7101;           1;                         "Falmer Village"
rec;    20100328;           1;        7201;           1;              "Falmer Station University"
rec;    20100328;           1;        7300;           0;                      "Science Park Road"
rec;    20100328;           1;        7301;           1;                      "Science Park Road"
rec;    20100328;           1;        7400;           0;              "Falmer Village University"
rec;    20100328;           1;        7401;           1;              "Falmer Village University"
rec;    20100328;           1;        7500;           0;                        "Clarence Square"
rec;    20100328;           1;        7501;           1;                        "Clarence Square"
rec;    20100328;           1;        7601;           1;                           "Sussex House"
rec;    20100328;           1;        7800;           0;                            "Ship Street"
rec;    20100328;           1;        7801;           1;                            "Ship Street"
rec;    20100328;           1;        7900;           0;                        "Brighton Centre"
rec;    20100328;           1;        7901;           1;                        "Brighton Centre"
rec;    20100328;           1;        8000;           0;                              "West Pier"
rec;    20100328;           1;        8001;           1;                              "West Pier"
rec;    20100328;           1;        8100;           0;                            "Clock Tower"
rec;    20100328;           1;        8101;           1;                            "Clock Tower"
rec;    20100328;           1;        8200;           0;                             "North Road"
rec;    20100328;           1;        8201;           1;                             "North Road"
rec;    20100328;           1;        8300;           0;                      "Cissbury Crescent"
rec;    20100328;           1;        8301;           1;                      "Cissbury Crescent"
rec;    20100328;           1;        8400;           0;                          "Grand Ocean A"
rec;    20100328;           1;        8500;           0;           "Longridge Avenue Post Office"
rec;    20100328;           1;        8501;           1;           "Longridge Avenue Post Office"
rec;    20100328;           1;        8600;           0;                          "Grand Ocean B"
rec;    20100328;           1;        8601;           1;                          "Grand Ocean B"
rec;    20100328;           1;        8700;           0;                     "Bevendean Ave West"
rec;    20100328;           1;        8701;           1;                     "Bevendean Ave West"
rec;    20100328;           1;        8800;           0;                         "Hartfield Road"
rec;    20100328;           1;        8801;           1;                         "Hartfield Road"
rec;    20100328;           1;        8900;           0;                "Rodmell Avenue East End"
rec;    20100328;           1;        8901;           1;                "Rodmell Avenue East End"
rec;    20100328;           1;        9000;           0;                          "Bannings Vale"
rec;    20100328;           1;        9001;           1;                          "Bannings Vale"
rec;    20100328;           1;        9100;           0;                     "Bevendean Ave East"
rec;    20100328;           1;        9101;           1;                     "Bevendean Ave East"
rec;    20100328;           1;        9200;           0;                        "Oaklands Avenue"
rec;    20100328;           1;        9300;           0;                          "Martlet House"
rec;    20100328;           1;        9301;           1;                          "Martlet House"
rec;    20100328;           1;       10001;           1;                 "Waitrose/Montpelier Rd"
rec;    20100328;           1;       10100;           0;                        "Brunswick Place"
rec;    20100328;           1;       10101;           1;                        "Brunswick Place"
rec;    20100328;           1;       10200;           0;                   "St Anns Well Gardens"
rec;    20100328;           1;       10300;           0;                             "Furzecroft"
rec;    20100328;           1;       10301;           1;                             "Furzecroft"
rec;    20100328;           1;       10400;           0;                      "Top of Furze Hill"
rec;    20100328;           1;       10401;           1;                      "Top of Furze Hill"
rec;    20100328;           1;       10500;           0;                       "George Street PO"
rec;    20100328;           1;       10501;           1;                       "George Street PO"
rec;    20100328;           1;       10700;           0;                       "Hove Street/A259"
rec;    20100328;           1;       10701;           1;                       "Hove Street/A259"
rec;    20100328;           1;       10800;           0;                 "Westbourne Villas A259"
rec;    20100328;           1;       10801;           1;                 "Westbourne Villas A259"
rec;    20100328;           1;       10900;           0;                         "Babylon Lounge"
rec;    20100328;           1;       10901;           1;                         "Babylon Lounge"
rec;    20100328;           1;       11000;           0;                       "Langdale Gardens"
rec;    20100328;           1;       11001;           1;                       "Langdale Gardens"
rec;    20100328;           1;       11100;           0;                         "Wish Road A259"
rec;    20100328;           1;       11101;           1;                         "Wish Road A259"
rec;    20100328;           1;       11200;           0;                             "Roman Road"
rec;    20100328;           1;       11201;           1;                             "Roman Road"
rec;    20100328;           1;       11300;           0;                             "Park Royal"
rec;    20100328;           1;       11301;           1;                             "Park Royal"
rec;    20100328;           1;       11400;           0;                   "St Keyna Avenue A259"
rec;    20100328;           1;       11401;           1;                   "St Keyna Avenue A259"
rec;    20100328;           1;       11500;           0;                           "Station Road"
rec;    20100328;           1;       11501;           1;                           "Station Road"
rec;    20100328;           1;       12800;           0;                         "Compton Avenue"
rec;    20100328;           1;       12801;           1;                         "Compton Avenue"
rec;    20100328;           1;       12900;           0;             "Seven Dials/ Buckingham Pl"
rec;    20100328;           1;       13000;           0;                    "Seven Dials/Dyke Rd"
rec;    20100328;           1;       13001;           1;                    "Seven Dials/Dyke Rd"
rec;    20100328;           1;       13100;           0;                                "BHASVIC"
rec;    20100328;           1;       13101;           1;                                "BHASVIC"
rec;    20100328;           1;       13200;           0;                        "Montefiore Road"
rec;    20100328;           1;       13201;           1;                        "Montefiore Road"
rec;    20100328;           1;       13300;           0;                        "Silverdale Road"
rec;    20100328;           1;       13301;           1;                        "Silverdale Road"
rec;    20100328;           1;       13400;           0;               "Upper Drive/Old S'Ham Rd"
